latitude,longitude,side_b
26.000000,97.500000,KIO
26.000000,97.500000,KIO
26.000000,97.500000,KIO
25.600833,98.376667,KIO
24.760000,97.563333,KIO
25.195076,96.597658,KIO
26.000000,97.500000,KIO
22.000000,98.000000,KIO
24.760000,97.563333,KIO
25.523056,96.711667,KIO
24.979722,97.561389,KIO
26.000000,97.500000,KIO
22.000000,98.000000,KIO
25.616667,96.316667,KIO
25.010372,96.603050,KIO
27.882151,98.081591,KIO
25.600833,98.376667,KIO
23.456667,97.940278,KIO
27.516700,97.116700,KIO
26.000000,97.500000,KIO
26.000000,97.500000,KIO
26.000000,97.500000,KIO
26.000000,97.500000,KIO
22.950000,97.950000,KIO
26.000000,97.500000,KIO
26.000000,97.500000,KIO
24.353110,97.629490,KIO
26.000000,97.500000,KIO
26.000000,97.500000,KIO
27.333056,97.427500,KIO
27.333056,97.427500,KIO
26.000000,97.500000,KIO
26.000000,97.500000,KIO
24.116131,97.296584,KIO
23.576667,98.101389,KIO
26.000000,97.500000,KIO
26.000000,97.500000,KIO
23.866600,97.174780,KIO
24.116131,97.296584,KIO
23.758170,97.132340,KIO
23.758170,97.132340,KIO
23.700620,97.202070,KIO
24.260229,97.178824,KIO
24.083333,97.233333,KIO
22.950000,97.950000,KIO
26.000000,97.500000,KIO
26.268889,96.772778,KIO
23.575970,98.098620,KIO
23.979167,97.904722,KIO
23.979167,97.904722,KIO
24.760000,97.563333,KIO
22.000000,98.000000,KIO
26.000000,97.500000,KIO
24.942261,96.313449,KIO
23.836011,97.681672,KIO
25.312833,97.684044,KIO
22.000000,98.000000,KIO
23.457894,97.937993,KIO
23.960382,97.358798,KIO
23.951216,97.398028,KIO
24.260229,97.178824,KIO
23.457894,97.937993,KIO
22.967835,97.794534,KIO
23.457894,97.937993,KIO
24.942261,96.313449,KIO
25.305430,96.935365,KIO
23.306511,98.182546,KIO
23.306511,98.182546,KIO
25.616667,96.316667,KIO
26.509765,96.712445,KIO
26.509765,96.712445,KIO
26.509765,96.712445,KIO
25.616667,96.316667,KIO
23.979167,97.904722,KIO
23.457894,97.937993,KIO
26.000000,97.500000,KIO
23.960382,97.358798,KIO
25.616667,96.316667,KIO
25.195076,96.597658,KIO
25.616667,96.316667,KIO
25.616667,96.316667,KIO
25.616667,96.316667,KIO
22.000000,98.000000,KIO
23.979167,97.904722,KIO
26.578355,97.690334,KIO
26.000000,97.500000,KIO
23.960382,97.358798,KIO
23.960382,97.358798,KIO
23.960382,97.358798,KIO
23.979167,97.904722,KIO
23.960382,97.358798,KIO
23.960382,97.358798,KIO
26.000000,97.500000,KIO
24.942261,96.313449,KIO
25.616667,96.316667,KIO
23.957135,98.129121,KIO
24.260229,97.178824,KIO
24.814875,97.428146,KIO
22.967835,97.794534,KIO
25.679728,96.481155,KIO
25.679728,96.481155,KIO
24.260229,97.178824,KIO
26.000000,97.500000,KIO
22.967835,97.794534,KIO
26.000000,97.500000,KIO
25.679728,96.481155,KIO
24.613717,97.461027,KIO
25.312833,97.684044,KIO
23.705275,98.034294,KIO
23.957135,98.129121,KIO
23.301979,97.963328,KIO
25.312833,97.684044,KIO
23.957135,98.129121,KIO
26.509765,96.712445,KIO
26.509765,96.712445,KIO
22.967835,97.794534,KIO
26.000000,97.500000,KIO
25.918139,96.658273,KIO
26.509765,96.712445,KIO
26.000000,97.500000,KIO
24.119710,97.294235,KIO
24.099889,98.312316,KIO
26.509765,96.712445,KIO
26.247020,96.555580,KIO
24.942261,96.313449,KIO
26.000000,97.500000,KIO
24.942261,96.313449,KIO
25.679728,96.481155,KIO
26.509765,96.712445,KIO
26.000000,97.500000,KIO
25.679728,96.481155,KIO
26.000000,97.500000,KIO
22.967835,97.794534,KIO
25.226425,96.793545,KIO
