WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE,YEAR,MONTH,DAY
2022-04-23,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,5,0,336993.0,Political violence,2043,17.1075,95.1442,2022,4,23
2022-05-07,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,72060.0,Political violence,2043,17.1075,95.1442,2022,5,7
2022-05-14,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,2,0,147156.0,Political violence,2043,17.1075,95.1442,2022,5,14
2022-05-21,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,3,0,108988.0,Political violence,2043,17.1075,95.1442,2022,5,21
2022-05-28,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,5,1,501012.0,Political violence,2043,17.1075,95.1442,2022,5,28
2022-07-09,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,36105.0,Political violence,2043,17.1075,95.1442,2022,7,9
2022-07-23,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,2,0,164991.0,Political violence,2043,17.1075,95.1442,2022,7,23
2022-07-30,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,120017.0,Political violence,2043,17.1075,95.1442,2022,7,30
2022-08-13,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,114771.0,Political violence,2043,17.1075,95.1442,2022,8,13
2022-08-20,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,2,1,86016.0,Political violence,2043,17.1075,95.1442,2022,8,20
